kod_stacji,nazwa_stacji,lon,lat,stan,stan_data,przelyw,przeplyw_data
149200290,MUSZYNA-MILIK,20.885278,49.35,101,2025-03-31 09:20:00,9,2025-03-31 09:20:00
153230130,HARASIMOWICZE,23.448889,53.6625,492,2025-03-31 09:20:00,1,2025-03-31 09:20:00
149180250,CZECHOWICE-DZIEDZICE,18.986389,49.913611,195,2025-03-31 09:20:00,1,2025-03-31 09:20:00
149220170,KROŚCIENKO,22.662778,49.473056,102,2025-03-31 09:20:00,1,2025-03-31 09:20:00
150200100,POPĘDZYNKA,20.549444,50.141389,177,2025-03-31 09:20:00,56,2025-03-31 09:20:00
150220010,RZESZÓW,22.015556,50.039722,47,2025-03-31 09:20:00,4,2025-03-31 09:20:00
149200010,PORONIN,20.003056,49.337222,132,2025-03-31 09:20:00,1,2025-03-31 09:20:00
149200280,ZGŁOBICE,20.879722,49.975,107,2025-03-31 09:20:00,34,2025-03-31 09:20:00
150210140,BRZEŹNICA,21.486944,50.106389,95,2025-03-31 09:20:00,1,2025-03-31 09:20:00
149190010,CZECHOWICE-BESTWINA,19.030278,49.891389,112,2025-03-31 09:20:00,1,2025-03-31 09:20:00
150190120,PRZECZYCE,19.177778,50.427222,61,2025-03-31 09:20:00,1,2025-03-31 09:20:00
151200080,ODRZYWÓŁ,20.562778,51.519444,127,2025-03-31 09:20:00,3,2025-03-31 09:20:00
153140030,GRYFINO,14.484444,53.256944,532,2025-03-31 09:20:00,,
153180030,BOŻEPOLE SZLACHECKIE,18.231111,53.976389,61,2025-03-31 09:20:00,2,2025-03-31 09:20:00
153200070,OLSZTYN-KORTOWO,20.471667,53.756389,60,2025-03-31 09:20:00,3,2025-03-31 09:20:00
153220090,CZACHY,22.446111,53.378056,224,2025-03-31 09:20:00,1,2025-03-31 09:20:00
154150030,KOŁOBRZEG,15.553333,54.186667,520,2025-03-31 09:20:00,,
149180080,DROGOMYŚL,18.749444,49.885833,114,2025-03-31 09:20:00,,
